ds,y,tkcarNmpr,gffNmpr,routeNm,nodeNm,sttnNo,nodeId,tourTime,avrgVe,stdrDe
2026-03-17,3188,1734,664,5511,서울대입구역3번출구,21330,120000228,12807,0,20260317
2026-03-18,3260,1837,645,5511,서울대입구역3번출구,21330,120000228,13619,0,20260318
2026-03-19,3255,1910,699,5511,서울대입구역3번출구,21330,120000228,12564,0,20260319
2026-03-20,3112,1896,704,5511,서울대입구역3번출구,21330,120000228,12693,0,20260320
2026-03-21,2300,1618,485,5511,서울대입구역3번출구,21330,120000228,7953,0,20260321
2026-03-22,1707,1208,293,5511,서울대입구역3번출구,21330,120000228,6449,0,20260322
2026-03-23,3216,1818,641,5511,서울대입구역3번출구,21330,120000228,12347,0,20260323
2026-03-24,3243,1731,651,5511,서울대입구역3번출구,21330,120000228,11945,0,20260324
2026-03-25,3350,1923,699,5511,서울대입구역3번출구,21330,120000228,13170,0,20260325
2026-03-26,3253,1827,652,5511,서울대입구역3번출구,21330,120000228,12574,0,20260326
2026-03-27,3113,1868,623,5511,서울대입구역3번출구,21330,120000228,13417,0,20260327
2026-03-28,2128,1520,400,5511,서울대입구역3번출구,21330,120000228,8031,0,20260328
2026-03-29,1733,1232,277,5511,서울대입구역3번출구,21330,120000228,6112,0,20260329
2026-03-30,3129,1772,706,5511,서울대입구역3번출구,21330,120000228,11989,0,20260330
2026-03-31,3095,1729,670,5511,서울대입구역3번출구,21330,120000228,12837,0,20260331
2026-04-01,3237,1863,693,5511,서울대입구역3번출구,21330,120000228,13262,0,20260401
2026-04-02,3206,1856,736,5511,서울대입구역3번출구,21330,120000228,12552,0,20260402
2026-04-03,3015,1829,657,5511,서울대입구역3번출구,21330,120000228,12649,0,20260403
2026-04-04,1849,1295,416,5511,서울대입구역3번출구,21330,120000228,8005,0,20260404
2026-04-05,1734,1204,309,5511,서울대입구역3번출구,21330,120000228,6803,0,20260405
2026-04-06,3196,1859,622,5511,서울대입구역3번출구,21330,120000228,12873,0,20260406
2026-04-07,3072,1702,707,5511,서울대입구역3번출구,21330,120000228,12167,0,20260407
2026-04-08,3168,1773,711,5511,서울대입구역3번출구,21330,120000228,12681,0,20260408
2026-04-09,2977,1680,617,5511,서울대입구역3번출구,21330,120000228,12503,0,20260409
2026-04-10,2828,1723,679,5511,서울대입구역3번출구,21330,120000228,12242,0,20260410
2026-04-11,2227,1543,396,5511,서울대입구역3번출구,21330,120000228,8234,0,20260411
2026-04-12,1865,1310,280,5511,서울대입구역3번출구,21330,120000228,6205,0,20260412
2026-04-13,3012,1656,658,5511,서울대입구역3번출구,21330,120000228,12523,0,20260413
2026-04-14,3028,1680,637,5511,서울대입구역3번출구,21330,120000228,13004,0,20260414
2026-04-15,3028,1749,695,5511,서울대입구역3번출구,21330,120000228,12541,0,20260415
2026-04-16,3072,1783,646,5511,서울대입구역3번출구,21330,120000228,13012,0,20260416
2026-04-17,2842,1738,610,5511,서울대입구역3번출구,21330,120000228,13355,0,20260417
2026-04-18,2391,1684,413,5511,서울대입구역3번출구,21330,120000228,8913,0,20260418
